distrito,dico,name,ambito,Anos,medvalsqm2,imi,classicalH,owcharges,charges400,newhouse,pp,netpop,netmig,pop15,popeduc15,popdens,pop,pop65,active,unemployed,touracc,classacc,area,chharea,newharea,touracarea,clasacarea,unemprate,newhousepmig,clashousphh,touaccpmig,housespercapita,newhnetpop,clasaccppopden,clasaccpop
AVEIRO,"0106",Castelo de Paiva,MunicÃ­pio,Castelo de Paiva,737.000000000000000,0.300000000000000,4246.000000000000000,0.336787564766839,0.135664335664336,63.000000000000000,68.099999999999994,-135.000000000000000,-56.000000000000000,13757.000000000000000,0.085919895326016,135.500000000000000,15586.000000000000000,0.208584627229565,6993.000000000000000,494.000000000000000,8.000000000000000,7772.000000000000000,115.025999999999996,36.912999999999997,0.548000000000000,0.070000000000000,67.566999999999993,0.070642070642071,-1.125000000000000,1.830428638718794,-0.142857142857143,0.498652636981907,-0.466666666666667,57.357933579335793,0.498652636981907
AVEIRO,"0109",Santa Maria da Feira,MunicÃ­pio,Santa Maria da Feira,899.000000000000000,0.365000000000000,37636.000000000000000,0.377829737485386,0.234528832630098,231.000000000000000,85.799999999999997,-192.000000000000000,121.000000000000000,119508.000000000000000,0.157077350470261,633.100000000000023,136674.000000000000000,0.209454614630434,67022.000000000000000,5169.000000000000000,11.000000000000000,62309.000000000000000,215.881000000000000,174.336999999999989,1.070000000000000,0.051000000000000,288.627000000000010,0.077123929456000,1.909090909090909,1.655569135933681,0.090909090909091,0.455895049533927,-1.203125000000000,98.418891170431209,0.455895049533927
AVEIRO,"0108",Estarreja,MunicÃ­pio,Estarreja,874.000000000000000,0.350000000000000,7597.000000000000000,0.255100697643807,0.244066047471620,85.000000000000000,84.500000000000000,-9.000000000000000,165.000000000000000,22918.000000000000000,0.133214067545161,242.300000000000011,26213.000000000000000,0.243924770152215,12223.000000000000000,763.000000000000000,3.000000000000000,13330.000000000000000,108.183999999999997,70.222999999999999,0.786000000000000,0.028000000000000,123.215999999999994,0.062423300335433,0.515151515151515,1.754639989469527,0.018181818181818,0.508526303742418,-9.444444444444445,55.014444903012794,0.508526303742418
BRAGA,"0312", ,MunicÃ­pio,Vila Nova de FamalicÃ£o,945.000000000000000,0.340000000000000,35334.000000000000000,0.443991622799570,0.230622131565528,417.000000000000000,89.900000000000006,-254.000000000000000,-142.000000000000000,116425.000000000000000,0.152965428387374,662.399999999999977,133534.000000000000000,0.196841253912861,67528.000000000000000,4718.000000000000000,9.000000000000000,57744.000000000000000,201.591000000000008,175.276000000000010,2.069000000000000,0.045000000000000,286.440999999999974,0.069867314299254,-2.936619718309859,1.634233316352522,-0.063380281690141,0.432429194062935,-1.641732283464567,87.173913043478265,0.432429194062935
BRAGA,"0311",Vieira do Minho,MunicÃ­pio,Vieira do Minho,862.000000000000000,0.300000000000000,3958.000000000000000,0.184436584133401,0.198630136986301,20.000000000000000,67.299999999999997,-82.000000000000000,30.000000000000000,10804.000000000000000,0.102924842650870,55.200000000000003,11955.000000000000000,0.295273943956504,4468.000000000000000,399.000000000000000,45.000000000000000,8190.000000000000000,216.575999999999993,18.274999999999999,0.092000000000000,0.208000000000000,37.816000000000003,0.089301700984781,0.666666666666667,2.069226882263770,1.500000000000000,0.685069008782936,-0.243902439024390,148.369565217391283,0.685069008782936
BRAGA,"0314",Vizela,MunicÃ­pio,Vizela,880.000000000000000,0.375000000000000,5382.000000000000000,0.454292084726867,0.150511247443763,136.000000000000000,83.200000000000003,6.000000000000000,-9.000000000000000,20830.000000000000000,0.108545367258761,967.399999999999977,23896.000000000000000,0.175050217609642,12524.000000000000000,850.000000000000000,4.000000000000000,9592.000000000000000,24.701000000000001,217.885999999999996,5.506000000000000,0.162000000000000,388.324000000000012,0.067869690194826,-15.111111111111111,1.782237086584913,-0.444444444444444,0.401406093069970,22.666666666666668,9.915236716973331,0.401406093069970
BRAGA,"0313",Vila Verde,MunicÃ­pio,Vila Verde,875.000000000000000,0.300000000000000,13400.000000000000000,0.297985074626866,0.219634360130228,117.000000000000000,70.400000000000006,-76.000000000000000,44.000000000000000,40316.000000000000000,0.125533287032444,203.099999999999994,46444.000000000000000,0.218284385496512,21076.000000000000000,1416.000000000000000,15.000000000000000,24025.000000000000000,228.675999999999988,58.597999999999999,0.512000000000000,0.066000000000000,105.061000000000007,0.067185424179161,2.659090909090909,1.792910447761194,0.340909090909091,0.517289639135303,-1.539473684210526,118.291482028557368,0.517289639135303
BRAGA,"0310",Terras de Bouro,MunicÃ­pio,Terras de Bouro,866.000000000000000,0.300000000000000,2101.000000000000000,0.170871013802951,0.189415041782730,0.000000000000000,63.799999999999997,-50.000000000000000,5.000000000000000,5713.000000000000000,0.085944337475932,22.899999999999999,6358.000000000000000,0.290814721610569,2510.000000000000000,252.000000000000000,61.000000000000000,4902.000000000000000,277.641999999999996,7.567000000000000,0.000000000000000,0.220000000000000,17.655999999999999,0.100398406374502,0.000000000000000,2.333174678724417,12.199999999999999,0.770997168921044,0.000000000000000,214.061135371179063,0.770997168921044
BRAGA,"0309", ,MunicÃ­pio,PÃ³voa de Lanhoso,861.000000000000000,0.300000000000000,6107.000000000000000,0.287702636318978,0.215139442231076,7.000000000000000,71.400000000000006,-14.000000000000000,86.000000000000000,19116.000000000000000,0.109384808537351,161.699999999999989,21775.000000000000000,0.223926521239954,9490.000000000000000,715.000000000000000,10.000000000000000,12025.000000000000000,134.663000000000011,45.350000000000001,0.052000000000000,0.074000000000000,89.296999999999997,0.075342465753425,0.081395348837209,1.969051907646963,0.116279069767442,0.552238805970149,-0.500000000000000,74.366110080395799,0.552238805970149
BRAGA,"0308", ,MunicÃ­pio,GuimarÃ£es,948.000000000000000,0.330000000000000,35096.000000000000000,0.425262138135400,0.211524288107203,357.000000000000000,91.299999999999997,-615.000000000000000,-492.000000000000000,137245.000000000000000,0.150606579474662,650.700000000000045,156830.000000000000000,0.199751323088695,78731.000000000000000,5824.000000000000000,43.000000000000000,69603.000000000000000,241.016999999999996,145.616000000000014,1.481000000000000,0.178000000000000,288.788999999999987,0.073973403106781,-0.725609756097561,1.983217460679280,-0.087398373983740,0.443811770707135,-0.580487804878049,106.966343937298291,0.443811770707135
BRAGA,"0305",Celorico de Basto,MunicÃ­pio,Celorico de Basto,726.000000000000000,0.300000000000000,5261.000000000000000,0.227333206614712,0.203177257525084,66.000000000000000,57.500000000000000,-81.000000000000000,51.000000000000000,15540.000000000000000,0.095688545688546,97.400000000000006,17643.000000000000000,0.239018307544068,7430.000000000000000,533.000000000000000,13.000000000000000,11135.000000000000000,181.139999999999986,29.044000000000000,0.364000000000000,0.072000000000000,61.472000000000001,0.071736204576043,1.294117647058824,2.116517772286638,0.254901960784314,0.631128492886697,-0.814814814814815,114.322381930184804,0.631128492886697
BRAGA,"0304",Cabeceiras de Basto,MunicÃ­pio,Cabeceiras de Basto,844.000000000000000,0.300000000000000,4508.000000000000000,0.260425909494232,0.166950596252129,38.000000000000000,66.500000000000000,-86.000000000000000,-6.000000000000000,13641.000000000000000,0.115973902206583,64.299999999999997,15558.000000000000000,0.226507263144363,6681.000000000000000,574.000000000000000,18.000000000000000,9830.000000000000000,241.960000000000008,18.631000000000000,0.157000000000000,0.074000000000000,40.627000000000002,0.085915282143392,-6.333333333333333,2.180567879325643,-3.000000000000000,0.631829283969662,-0.441860465116279,152.877138413685856,0.631829283969662
BRAGA,"0307",Fafe,MunicÃ­pio,Fafe,804.000000000000000,0.300000000000000,12506.000000000000000,0.281864704941628,0.176170212765957,121.000000000000000,75.500000000000000,-258.000000000000000,-100.000000000000000,42814.000000000000000,0.130634839071332,221.400000000000006,48497.000000000000000,0.230653442480978,22316.000000000000000,1861.000000000000000,14.000000000000000,26246.000000000000000,219.046999999999997,57.093000000000004,0.552000000000000,0.064000000000000,119.819000000000003,0.083393081197347,-1.210000000000000,2.098672637134176,-0.140000000000000,0.541188114728746,-0.468992248062016,118.545618789521228,0.541188114728746
BRAGA,"0306",Esposende,MunicÃ­pio,Esposende,1101.000000000000000,0.300000000000000,9854.000000000000000,0.318347879033895,0.293911380299649,89.000000000000000,85.200000000000003,28.000000000000000,73.000000000000000,30356.000000000000000,0.187903544604032,368.199999999999989,35132.000000000000000,0.200415575543664,17339.000000000000000,896.000000000000000,17.000000000000000,21761.000000000000000,95.415999999999997,103.274000000000001,0.933000000000000,0.178000000000000,228.063999999999993,0.051675413807025,1.219178082191781,2.208341790135985,0.232876712328767,0.619406808607537,3.178571428571428,59.101032047800111,0.619406808607537
AVEIRO,"0118",Vagos,MunicÃ­pio,Vagos,935.000000000000000,0.300000000000000,7153.000000000000000,0.223961973996924,0.282147315855181,26.000000000000000,74.000000000000000,110.000000000000000,206.000000000000000,19830.000000000000000,0.142914775592537,138.800000000000011,22886.000000000000000,0.240671152669754,10854.000000000000000,544.000000000000000,6.000000000000000,13197.000000000000000,164.884999999999991,43.381999999999998,0.158000000000000,0.036000000000000,80.037999999999997,0.050119771512806,0.126213592233010,1.844960156577660,0.029126213592233,0.576640741064406,0.236363636363636,95.079250720461090,0.576640741064406
AVEIRO,"0117",Sever do Vouga,MunicÃ­pio,Sever do Vouga,678.000000000000000,0.300000000000000,3828.000000000000000,0.272727272727273,0.235632183908046,9.000000000000000,75.700000000000003,-62.000000000000000,31.000000000000000,9939.000000000000000,0.132005231914680,85.200000000000003,11063.000000000000000,0.294585555455121,4842.000000000000000,166.000000000000000,12.000000000000000,7187.000000000000000,129.847000000000008,29.481000000000002,0.069000000000000,0.092000000000000,55.350000000000001,0.034283353985956,0.290322580645161,1.877481713688610,0.387096774193548,0.649642953990780,-0.145161290322581,84.354460093896705,0.649642953990780
AVEIRO,"0119",Vale de Cambra,MunicÃ­pio,Vale de Cambra,832.000000000000000,0.300000000000000,6596.000000000000000,0.239690721649485,0.237191650853890,19.000000000000000,87.400000000000006,-121.000000000000000,7.000000000000000,19003.000000000000000,0.145819081197706,144.400000000000006,21269.000000000000000,0.281818609243500,9633.000000000000000,406.000000000000000,11.000000000000000,12023.000000000000000,147.292000000000002,44.781999999999996,0.129000000000000,0.075000000000000,81.626999999999995,0.042146787086058,2.714285714285714,1.822771376591874,1.571428571428571,0.565282805961728,-0.157024793388430,83.261772853185590,0.565282805961728
 ,"1401",Abrantes,MunicÃ­pio,Abrantes,627.000000000000000,0.400000000000000,11474.000000000000000,0.327348788565452,0.162406815761448,13.000000000000000,88.599999999999994,-308.000000000000000,141.000000000000000,30815.000000000000000,0.140970306668830,48.000000000000000,34329.000000000000000,0.311311136357016,13804.000000000000000,1062.000000000000000,13.000000000000000,25709.000000000000000,715.187999999999988,16.042999999999999,0.018000000000000,0.018000000000000,35.947000000000003,0.076934221964648,0.092198581560284,2.240630991807565,0.092198581560284,0.748900346645693,-0.042207792207792,535.604166666666629,0.748900346645693
 ,"1403",Almeirim,MunicÃ­pio,Almeirim,716.000000000000000,0.380000000000000,7055.000000000000000,0.350106307583274,0.218623481781377,17.000000000000000,86.299999999999997,-56.000000000000000,135.000000000000000,19082.000000000000000,0.146368305209098,99.099999999999994,22012.000000000000000,0.257813919680174,9757.000000000000000,716.000000000000000,8.000000000000000,12409.000000000000000,222.119000000000000,31.762000000000000,0.077000000000000,0.036000000000000,55.866000000000000,0.073383212052885,0.125925925925926,1.758894401133948,0.059259259259259,0.563737961112121,-0.303571428571429,125.216952573158437,0.563737961112121
 ,"1402",Alcanena,MunicÃ­pio,Alcanena,669.000000000000000,0.395000000000000,3882.000000000000000,0.290314270994333,0.176574977817214,6.000000000000000,85.099999999999994,-63.000000000000000,89.000000000000000,10978.000000000000000,0.121151393696484,98.000000000000000,12472.000000000000000,0.284397049390635,5482.000000000000000,238.000000000000000,3.000000000000000,8145.000000000000000,127.265000000000001,30.503000000000000,0.047000000000000,0.024000000000000,64.000000000000000,0.043414812112368,0.067415730337079,2.098145285935085,0.033707865168539,0.653062860808210,-0.095238095238095,83.112244897959187,0.653062860808210
LISBOA,"1104",Cadaval,MunicÃ­pio,Cadaval,804.000000000000000,0.360000000000000,4383.000000000000000,0.299566506958704,0.228484386900228,33.000000000000000,72.400000000000006,9.000000000000000,174.000000000000000,11837.000000000000000,0.109994086339444,76.500000000000000,13372.000000000000000,0.301301226443314,5623.000000000000000,359.000000000000000,7.000000000000000,8947.000000000000000,174.796999999999997,25.074999999999999,0.189000000000000,0.040000000000000,51.185000000000002,0.063844922639161,0.189655172413793,2.041295916039243,0.040229885057471,0.669084654501944,3.666666666666667,116.954248366013076,0.669084654501944
